CVE_ENT,delito,resolucion,ubicacion,productos_servicios,detalles_adicionales
14,"ESES DE CONCLUSIN DEL ENCARGO,", BAJA ADMINISTRATIVA, JALISCO," DANIEL LUNA
IBARRA,","
...DERIVADO DE LA REVISIN Y ANLISIS"
13, NO REALIZAR EN TIEMPO,"
FIRME:", ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,"OBTUVO BENEFICIOS ADICIONALES A SU SALARIO,", COMISIONADO A LA ZONA CHAPINGO, CHAPINGO," CFE,", CONTINU PERCIBIENDO SALARIOS Y PRESTACIONES
14,OMISION,OMISION," H AYUNTAMIENTO DE TOTOTLAN, JALISCO", PATRIMONIAL Y DE INTERESES DE CONCLUSION DEL ENCARGO, SITUACION PATRIMONIAL Y DE INTERESES
9,NO EJERCI, DAO, DAO EN EL PATRIMONIO DE LA CITADA INSTITUCIN.," PAGOS EN EXCESO REALIZADOS,", NO RECUPERO LA TOTALIDAD DE LOS PAGOS
9,OBTUVO, BENEFICIOS ADICIONALES, EL ESTADO.,OBTUVO BENEFICIOS, BENEFICIOS ADICIONALES
9, INCURRIO EN UN FALTANTE," $65,408.17."," CHIAPAS,"," $65,408.17.",INDEBIDAMENTE
9,"DEFICIENCIA MEDICA,","DEFICIENCIA MEDICA,","DEFICIENCIA MEDICA,", EMBARAZO, PRESENTAR EMBARAZO
9,EXTEMPORNEO,EXTEMPORNEO,EXTEMPORNEO, DECLARACIN DE SITUACIN PATRIMONIAL, TAMPOCO SE CUENTA CON REGISTRO ALGUNO
9," UN ASUNTO EN EL QUE TENIA INTERES PERSONAL,", UNA PROMOCION, MISMA., OTORGAMIENTO DE UNA PROMOCION PARA ELLA MISMA.," UN ASUNTO EN EL QUE TENIA INTERES PERSONAL,"
21, DIVERSAS IRREGULARIDADES NO DESVIRTUADAS, QUINCUAGSIMO NOVENO CONGRESO CONSTITUCIONAL, PUEBLA.," GASTO EFECTUADO EN LA CUENTA PUBLICA,", DIVERSAS IRREGULARIDADES
9,REALIZO REGISTROS IRREGULARES, DAO PATRIMONIAL., DAO PATRIMONIAL., DAO PATRIMONIAL., ELABORO DOCUMENTOS CON DATOS FALSOS
9, RETIROS INDEBIDOS, RETIROS INDEBIDOS, SIN CONTAR CON LA AUTORIZACION, RETIROS INDEBIDOS,OPERO RETIROS INDEBIDOS
13,OMITI,OMITI PRESENTAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.
9,OBTUVO BENEFICIOS ADICIONALES, BENEFICIOS ADICIONALES, ESTADO,OBTUVO BENEFICIOS, CONTRAPRESTACIONES
9,COMO SERVIDORA PBLICA," ABUS DEL ENCARGO CONFERIDO,"," DURANGO,", TARJETAS, MANIFESTACIONES
9, XI;," $150,000.00", MXICO," SERVICIO QUE LE FUE ENCOMENDADO,", QUINCE QUINCENAS
13, NDOLE SEXUAL EN AGRAVIO DE UNA MENOR ALUMNA., ACTOS DE NDOLE SEXUAL, ESTADO DE HIDALGO., ACTOS DE NDOLE SEXUAL, ACTOS DE NDOLE SEXUAL
24," IRREGULARIDAD DETERMINADA,"," IRREGULARIDAD DETERMINADA,"," SAN LUIS POTOSI,"," PRESENTAR LOS REPORTES DE SUPERVISION,"," REPORTES DE SUPERVISION,"
2," ABUSO DE FACULTADES,"," ABUSO DE FACULTADES,"," BAJA CALIFORNIA,"," USO DE SUELO,","
ARTCULO Y FRACCIONES VIOLENTADAS:"
2,ARTICULOS Y FRACCIONES VIOLENTADAS:, FAVORABLE," XXI AYUNTAMIENTO DE TIJUANA,", PRODUCTOS DERIVADOS DEL PETRLEO," ABUSO DE FACULTADES,"
2," ABUSO DE FACULTADES,", DICTAMEN DE FACTIBILIDAD," TIJUANA,", CARBURACIN DE GAS," ABUSO DE FACULTADES,"
1,UTILIZAR,UTILIZAR EL EQUIPO INFORMTICO INSTITUCIONAL, ORIENTE,UTILIZAR EL EQUIPO INFORMTICO INSTITUCIONAL,UTILIZAR EL EQUIPO INFORMTICO
19,AUTORIDAD SANCIONADORA: DIRECTORA DE NORMATIVIDAD,AUTORIDAD SANCIONADORA: DIRECTORA DE NORMATIVIDAD, MONTERREY., CONTRALORIA MUNICIPAL DE MONTERREY., DIRECTORA DE NORMATIVIDAD
9," INDEBIDO MANEJO DEL SICOM,"," INDEBIDO MANEJO DEL SICOM,",1.," SICOM,"," INDEBIDO MANEJO DEL SICOM,"
9,EL PRIMERO DE JULIO DE DOS MIL CATORCE, DAO PATRIMONIAL, COMO RESIDENTE DE OBRA," LIMPIEZA Y DESAZOLVE DE LA FOSA DE AGUA FRA,"," LOS PRECIOS UNITARIOS FUERON INADECUADOS,"
9,HABER EFECTUADO TRANSFERENCIAS ECONOMICAS,HABER EFECTUADO TRANSFERENCIAS ECONOMICAS,HABER EFECTUADO TRANSFERENCIAS ECONOMICAS, TRANSFERENCIAS ECONOMICAS INDEBIDAS,HABER EFECTUADO TRANSFERENCIAS ECONOMICAS
9,OMITIR COBRAR Y RECAUDAR CREDITOS FISCALES, CANCELO CREDITOS FISCALES, CONTRAVENCION AL CODIGO FISCAL DE LA FEDERACION.," TRANSPORTES NAVIEROS Y TERRESTRES,", DIVERSAS ACCIONES Y OMISIONES
9,IRREGULARIDADES EN EL PROCEDIMIENTO DE CONTRATACIN,IRREGULARIDADES EN EL PROCEDIMIENTO DE CONTRATACIN," ESTADOS UNIDOS DE AMRICA,", UN PROGRAMA DE VIVIENDA,IRREGULARIDADES EN EL PROCEDIMIENTO DE CONTRATACIN
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
21,DERIVADO," $10,243,619.30", PUEBLA.," $10,243,619.30"," SIN PROBAR, NI JUSTIFICAR"
21," 2018,", QUINCUAGSIMO NOVENO CONGRESO, PUEBLA.," AUDITORA DE CONTRALORA
FIRMEZA:"," AUDITORA DE CONTRALORA
FIRMEZA:"
22,NO PRESENT EN TIEMPO Y FORMA, ARTCULO 49 FRACCIN IV., ESTADO DE QUERTARO, DECLARACIN DE SITUACIN PATRIMONIAL,"
ARTCULOS Y FRACCIONES INFRINGIDAS:"
9, SOLICIT, DEPSITOS, 2009, DEPSITOS DE DIVERSAS CANTIDADES, LOS DEPSITOS DE DIVERSAS CANTIDADES
23, Contraloria Municipal de Felipe Carrillo Puerto.," incumplimiento a lo establecido en el articulo 47,", Contraloria Municipal de Felipe Carrillo Puerto.," articulo 47,"," fracciones I, II, III, IV y IX"
30,DEPENDENCIA: SECRETARA DE FINANZAS Y PLANEACIN," CONTRALORA GENERAL DEL ESTADO
HECHOS:"," DISTRITO FEDERAL,", RECURSOS, 16-A-3000-14-1679-06-0001 Y 16-A-3000-14-1679-06-002
9,DESVO,DESVO DE RECURSOS ECONMICOS," PERSONAL,DEFICIENCIA EN EL SERVICIO,",DESVO DE RECURSOS ECONMICOS," DISPOSICIONES LEGALES, REGLAMENTARIAS Y ADMINISTRATIVAS"
21, COBRO DE NOMINAS INDEBIDAS, COBRO DE NOMINAS INDEBIDAS, PUEBLA., COBRO DE NOMINAS INDEBIDAS," CHEQUE, RECIBO Y DEPSITO."
14,ABANDONO INSTITUCIONAL EN PERJUICIO DE UN MENOR.,ABANDONO INSTITUCIONAL EN PERJUICIO DE UN MENOR.," JALISCO,",ABANDONO INSTITUCIONAL EN PERJUICIO DE UN MENOR.,ABANDONO INSTITUCIONAL EN PERJUICIO DE UN MENOR.
9, HERMANA-HERMANO., ACEPTABLE-," 2013,", CONSERVACIN Y MANTENIMIENTO, CEDULA DE EVALUACIN
9,"IRREGULARIDAD ADMINISTRATIVA,", MIL PESOS,"IRREGULARIDAD ADMINISTRATIVA,", MIL PESOS,"IRREGULARIDAD ADMINISTRATIVA,"
26, ACTO RELATIVO A COMPRAVENTA;, ACTO RELATIVO A COMPRAVENTA;, SONORA., COMPRAVENTA;, APARENTES IRREGULARIDADES
9,EN SU CARACTER DE DIRECTOR, COMPACTACION Y REGULARIZACION DE CLAVES DOCENTES., 82, SERVICIOS, REGULARIZACION DE CLAVES DOCENTES.
9,PRESENTO LICENCIAS MEDICAS APOCRIFAS,PRESENTO LICENCIAS MEDICAS APOCRIFAS,PRESENTO LICENCIAS MEDICAS APOCRIFAS,PRESENTO LICENCIAS MEDICAS APOCRIFAS, LICENCIAS MEDICAS APOCRIFAS
13,OMITI,OMITI PRESENTAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.
12,AUTORIDAD SANCIONADORA:CONTRALORIA, SANCIONADORA:CONTRALORIA GENERAL DEL ESTADO DE GUERRERO., ESTADO DE GUERRERO., SALUD, OBSERVACIONES FINANCIERAS
24, Contraloria, Contraloria Interna de los Servicios de Salud.,Autoridad Sancionadora:, Salud., Contraloria Interna de los Servicios de Salud.
9,UTILIZO DE MANERA INDEBIDA, TIEMPO EXTRA,UTILIZO DE MANERA INDEBIDA, TIEMPO EXTRA, NO SE ABSTUVO DE UTILIZARLA EXCLUSIVAMENTE
9,FALTA DE SUPERVICION,FALTA DE SUPERVICION,FALTA DE SUPERVICION,FALTA DE SUPERVICION,FALTA DE SUPERVICION
9,OMITIO,OMITIO," PUEBLO NUEVO, GUANAJUATO,", INMUEBLES?,OMITIO
9, INCURRIO EN UN FALTANTE," $59,740.95", USTED ACREDITO LA EXISTENCIA DE NICAMENTE," $1,004,858.45", DEBI ENCONTRARSE EN LA CAJA DE CAUDALES
9,PROPORCIONO UN INFORME CARENTE DE VERACIDAD., UN INFORME CARENTE DE VERACIDAD.,PROPORCIONO UN INFORME CARENTE DE VERACIDAD.,PROPORCIONO UN INFORME CARENTE DE VERACIDAD.,PROPORCIONO UN INFORME CARENTE DE VERACIDAD.
9, CONDUCTA DESPLEGADA, COBRO DE PEAJE, A TTULO DE COBRO DE PEAJE," FORMA DE PAGO EN EFECTIVO,", EVENTOS VEHICULARES QUE CRUZARON
9,QUE," AUSENCIAS A SUS LABORES POR 21 DIAS,", LAS LICENCIAS MEDICAS NO FUERON EXPEDIDAS, LAS LICENCIAS MEDICAS, DOCUMENTOS
9,PRETENDI Y OBTUVO BENEFICIOS ADICIONALES," PAGO DE TIEMPO EXTRA Y ALIMENTOS,", TRABAJO.," PAGO DE TIEMPO EXTRA Y ALIMENTOS,"," PAGO DE TIEMPO EXTRA Y ALIMENTOS,"
9, IMPROCEDENTE., PAGO DE MOVILIZACION, IMPROCEDENTE., PAGO DE MOVILIZACION, PAGO DE MOVILIZACION DE UNA PLATAFORMA
9,AUTORIDAD SANCIONADORA:,AUTORIDAD SANCIONADORA: C.I., DISTRITO FEDERAL., C.I. EN LA SECRETARIA DE OBRAS Y SERVICIOS, FEDERAL.
20,AUTORIDAD SANCIONADORA:,AUTORIDAD SANCIONADORA:," OAXACA,", DINERO,"
HECHOS:"
9,PARTICIPO EN UN SECUESTRO,PARTICIPO EN UN SECUESTRO, SECUESTRO,PARTICIPO EN UN SECUESTRO,PARTICIPO EN UN SECUESTRO
9,OBTENER BENEFICIOS ADICIONALES, DAO ECONOMICO, ESTADO," BENEFICIARIOS DEL PROGRAMA JOVENES CON OPORTUNIDADES,",OBTENER BENEFICIOS ADICIONALES A LAS CONTRAPRESTACIONES
9, TENA UNA RELACIN LABORAL.," $6,741.00", ESTADO," $6,741.00", CONTRAPRESTACIONES
9,EN SU CARACTER DE DOCENTE," NIVEL III,"," NIVEL III,", EL SERVIDOR PUBLICO, RESULTO BENEFICIADO.
8,DIO, FIRMAR EL LISTADO NOMINAL," CHIHUAHUA, CHIHUAHUA.", EL LISTADO, CHIHUAHUA.
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9, TENA UNA RELACIN LABORAL.," $6,741.00", ESTADO," $6,741.00", CONTRAPRESTACIONES
13,NO REALIZAR EN TIEMPO,NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.,NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,SUSTRAJO,SUSTRAJO,SUSTRAJO, CABLE DE COBRE,SUSTRAJO 80 KILOS APROX. DE CABLE DE COBRE
9,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, MICHOACAN, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
9,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, CHIAPAS, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
9,INOBSERVANCIA A LA NORMATIVIDAD, POBREZA PATRIMONIAL.,INOBSERVANCIA, PROGRAMAS DE VIVIENDA,INOBSERVANCIA A LA NORMATIVIDAD
9,INCUMPLIMIENTO A SUS OBLIGACIONES,INCUMPLIMIENTO, NUEVO LEN.,INCUMPLIMIENTO,INCUMPLIMIENTO A SUS OBLIGACIONES
9,INCUMPLI CON SUS OBLIGACIONES, EJECUCIN DE 100 ACCIONES DE VIVIENDA, MORELOS., VIVIENDA," SEGUIMIENTO, CONTROL Y VIGILANCIA"
12,INCUMPLI,INCUMPLI, ESTADO DE GUERRERO.,INCUMPLI," VERIFICACIN, SEGUIMIENTO Y CONTROL"
9,OMISION,OMISION,OMISION, VIVIENDA,OMISION
10,OMISION,OMISION, DURANGO., VIVIENDA,OMISION EN EL CUMPLIMIENTO DE SUS OBLIGACIONES
9,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, ESTADO DE GUERRERO, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
11,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, GUANAJUATO, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
14,INCUMPLIMIENTO A SUS OBLIGACIONES,INCUMPLIMIENTO, JALISCO.,INCUMPLIMIENTO,INCUMPLIMIENTO A SUS OBLIGACIONES
28,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, TAMAULIPAS, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
20,INCUMPLI,INCUMPLI, OAXACA., VIVIENDA," SEGUIMIENTO, CONTROL Y EJERCICIO"
26,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, SONORA, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
28,OMITIO,OMITIO, TAMAULIPAS.," VIVIENDA RURAL,",OMITIO ESTABLECER LOS MECANISMOS
26,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN," SONORA,", VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
26,DEJAR DE CUMPLIR CON LAS OBLIGACIONES,DEJAR DE CUMPLIR CON LAS OBLIGACIONES, ESTADO,DEJAR DE CUMPLIR CON LAS OBLIGACIONES," 1, VIII Y XII Y 183"
9,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, LICENCIA MEDICA CARENTE DE VALIDEZ
25,INCUMPLI CON SU OBLIGACIN,INCUMPLI CON SU OBLIGACIN, ESTADO DE SONORA, VIVIENDA," VIGILANCIA, CONTROL Y SEGUIMIENTO"
9,"EL 4 DE NOVIEMBRE DE 2015,"," $19,000.44","EL 4 DE NOVIEMBRE DE 2015,"," $19,000.44", SUMA QUE EL RESPONSABLE REINTEGRO AL ORGANISMO.
9, DE QUEDAR ACREDITADAS TALES CONDUCTAS IRREGULARES," $19,648.03", VIII ZONA NORESTE," $19,648.03"," DICHO PAGO NO ESTABA JUSTIFICADO,"
9," SUSTRAJO UNA ESTRUCTURA PARA ESTACIONAR BICICLETAS,"," SUSTRAJO UNA ESTRUCTURA PARA ESTACIONAR BICICLETAS,"," EL ACTA DE 20 DE ABRIL DE 2010,"," UNA ESTRUCTURA PARA ESTACIONAR BICICLETAS,"," SUSTRAJO UNA ESTRUCTURA PARA ESTACIONAR BICICLETAS,"
9,REALIZAR INDEBIDAMENTE,REALIZAR INDEBIDAMENTE, SIN CONSENTIMIENTO NI AUTORIZACIN, RETIROS Y DEPOSITOS, SIN CONSENTIMIENTO NI AUTORIZACIN
14,INTERVENIR EN EL NOMBRAMIENTO DE DOS PARIENTES, PRIMER GRADO., PRIMER GRADO.,INTERVENIR EN EL NOMBRAMIENTO DE DOS PARIENTES,INTERVENIR EN EL NOMBRAMIENTO DE DOS PARIENTES
9,OMITIO,OMITIO, NO CONTAR CON LA DOCUMENTACIN,OMITIO EFECTUAR DEPOSITOS BANCARIOS, NO CONTAR CON LA DOCUMENTACIN COMPROBATORIA
9,"SOLICITO  Y RECIBIO DINERO DE PERSONAS FISICAS,"," DINERO DE PERSONAS FISICAS,", EL ESTADO., DINERO, PRESTACIONES ADICIONALES
15," NO CUMPLI CON EL SERVICIO ENCOMENDADO,"," NO CUMPLI CON EL SERVICIO ENCOMENDADO,"," ALTIPLANO,", SERVICIO PBLICO;, OMITI INFORMAR A SU SUPERIOR JERRQUICO
30,PAGOS INDEBIDOS EN EXCESO,PAGOS INDEBIDOS EN EXCESO, PUBLICA.,PAGOS,PAGOS INDEBIDOS EN EXCESO Y SIN DOCUMENTACION
30,DEFICIENTE REVISION,DEFICIENTE REVISION,DEFICIENTE REVISION, AQUAPRESS., ANEXOS Y ESTIMACIONES
30,DEFICIENTE REVISION,DEFICIENTE REVISION,DEFICIENTE REVISION, AQUAPRESS., ANEXOS Y ESTIMACIONES DEL CONTRATO CON AQUAPRESS.
30,PAGOS INDEBIDOS EN EXCESO,PAGOS INDEBIDOS EN EXCESO, PUBLICA.,PAGOS,PAGOS INDEBIDOS EN EXCESO Y SIN DOCUMENTACION
30,PAGOS INDEBIDOS EN EXCESO,PAGOS INDEBIDOS EN EXCESO, PUBLICA.,PAGOS,PAGOS INDEBIDOS EN EXCESO Y SIN DOCUMENTACION
9,OMITIO," EL GASTO,", NO VERIFICO, POLIZAS DE DIARIO, FISCALES Y LEGALES.
21,POR 5 IRREGULARIDADES QUE FUERON CONTEMPLADAS," $13,702,027.90", PUEBLA," $13,702,027.90", 5 IRREGULARIDADES QUE FUERON CONTEMPLADAS
14,OMISION,OMISION," H AYUNTAMIENTO DE TOTOTLAN, JALISCO", PATRIMONIAL Y DE INTERESES DE CONCLUSION DEL ENCARGO, SITUACION PATRIMONIAL Y DE INTERESES
13,OMITI,OMITI PRESENTAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.
9,EJERCICIO INDEBIDO,EJERCICIO INDEBIDO, ESTADO," $1'859,770.60", AL OPERAR RETIROS INDEBIDOS
9,FALSIFIC,FALSIFIC, CHIAPAS,FALSIFIC LA FIRMA DEL ENDOSO,FALSIFIC LA FIRMA DEL ENDOSO
9,OMISION,OMISION,OMISION, PATRIMONIAL, DECLARACION DE SITUACION PATRIMONIAL
9,NO EXCUSARSE,NO EXCUSARSE, SIN QUE EXISTIERA CONSTANCIAS, ATENCION, CONSTANCIAS
9, INCURRIO EN UN FALTANTE," $77,851.70."," TABASCO,"," $77,851.70.", INDEBIDAMENTE INCURRIO EN UN FALTANTE
9,OMITIO INGERSAR," $1,114,176.00"," DOS MIL SEIS,", PAGO DE SUMINISTRO  DE ENERGIA ELECTRICA, BENEFICIOS ADICIONALES
9,PROPORCION INFORMACIN CONFIDENCIAL A TERCERAS PERSONAS,PROPORCION INFORMACIN CONFIDENCIAL A TERCERAS PERSONAS, ORGANO JURISDICCIONAL,PROPORCION INFORMACIN,PROPORCION INFORMACIN CONFIDENCIAL A TERCERAS PERSONAS
9, PEAJE;," DESVIRTU LAS FUNCIONES ENCOMENDADAS,"," DOS MIL NUEVE,", $474.00," DESVIRTU LAS FUNCIONES ENCOMENDADAS,"
1,DEPENDENCIA:, EJECUTORIA., ESTADO DE AGUASCALIENTES., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., OMITI PRESENTAR LA DECLARACIN PATRIMONIAL
9,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
9, C.I. EN DELEGACIN ALVARO OBREGN, C.I. EN DELEGACIN ALVARO OBREGN, C.I. EN DELEGACIN ALVARO OBREGN, C.I. EN DELEGACIN ALVARO OBREGN, C.I. EN DELEGACIN ALVARO OBREGN
1,OTORGAR DESCUENTOS,OTORGAR DESCUENTOS, SIN ESTAR DEBIDAMENTE FACULTADO.,OTORGAR DESCUENTOS,OTORGAR DESCUENTOS
9,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
9, FALTANTE," $1,692.00."," VERACRUZ,"," 5 RECIBOS DE LA EMPRESA SKY,"," 5 RECIBOS DE LA EMPRESA SKY,"
9,AUTORIDAD SANCIONADORA, :DIRECCION DE RESPONSABILIDADES Y SANCIONES, :DIRECCION DE RESPONSABILIDADES Y SANCIONES, :DIRECCION, :DIRECCION DE RESPONSABILIDADES Y SANCIONES
9,EMITI, NICAMENTE, RESOLUCIN DE INCONFORMIDAD NO. INC. 0004/2014," PROCESOS DE PETROQUMICA,"," SUBSANARAN Y ACLARARAN SUS PROPUESTAS,"
13,OMITI, INHABILITACIN, ESTADO DE HIDALGO.," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", SITUACIN PATRIMONIAL Y DE INTERESES.
9,UTILIZ ILEGALMENTE, ANTEOJOS.,UTILIZ ILEGALMENTE," FACTURAS APCRIFAS,","UTILIZ ILEGALMENTE FACTURAS APCRIFAS,"
9," EFECTUADA AL AMPARO DE DICHOS ACTOS,"," EL PAGO INDEBIDO DE LA FACTURA NMERO 0311,"," DOS MIL DOCE,"," PAGO INDEBIDO DE LA FACTURA NMERO 0311,"," LAS RAZONES POR LAS CUALES SE REALIZARON,"
13,OMITI,OMITI PRESENTAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.
1,OMISIN,"
FRACCIONES VIOLENTADAS:", AGUASCALIENTES, DECLARACIN PATRIMONIAL,OMISIN DE PRESENTACIN DE DECLARACIN PATRIMONIAL
15,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
13,NO REALIZAR EN TIEMPO SU DECLARACION,NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO,NO REALIZAR EN TIEMPO,NO REALIZAR EN TIEMPO SU DECLARACION DE CONCLUSION
17," DESACATO A UNA SENTENCIA DE AMPARO,"," PENAS DE , DESTITUCIN E INHABILITACIN", MORELOS, EMPLEO O COMISIN PBLICOS., DESTITUCIN E INHABILITACIN DE CINCO AOS
17,AL NO CUMPLIR CON LA DILIGENCIA, VIOLACIN," MORELOS,", SERVICIO," 8, 110, 112, 113"
17, DESACATO," $10,725.00"," MORELOS,", SERVIDOR PBLICO," OMITI HACER CUMPLIR UNA SENTENCIA DE AMPARO,"
17," DESACATO A UNA SENTENCIA DE AMPARO,"," DESACATO A UNA SENTENCIA DE AMPARO,", MORELOS.," DESACATO A UNA SENTENCIA DE AMPARO,"," 7, FRACCIN II, 8, 9, PRRAFO PRIMERO Y 13,"
17," DESACATO A UNA SENTENCIA DE AMPARO,"," DESACATO A UNA SENTENCIA DE AMPARO,", EL ESTADO DE MORELOS," $13,820.00"," INCUMPLIR UNA SENTENCIA DE AMPARO,"
17,JUZGADO QUINTO DE DISTRITO, PENA DE INHABILITACIN POR CINCO AOS, MORELOS," EMPLEO, CARGO O COMISIN PBLICOS.", LA PENA DE INHABILITACIN POR CINCO AOS
17," DESACATO A UNA SENTENCIA DE AMPARO,"," DESACATO A UNA SENTENCIA DE AMPARO,"," ESTADO DE MORELOS,", SEGURIDAD JURDICA DE LOS GOBERNADOS., HABER SIDO REQUERIDO EN DIVERSAS OCASIONES
21,ABUSO,"ABUSO Y EJERCICIO INDEBIDO DE SU EMPLEO,","
AUTORIDAD SANCIONADORA: DELEGADA DE LA CONTRALORIA","ABUSO Y EJERCICIO INDEBIDO DE SU EMPLEO,","ABUSO Y EJERCICIO INDEBIDO DE SU EMPLEO,"
9," TOCAMIENTOS,"," TOCAMIENTOS,"," DGSEI,"," TOCAMIENTOS,"," LES HACA TOCAMIENTOS,"
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9, VIDEOGRABO, VIDEOGRABO," OAXACA,", VIDEOGRABO, VIDEOGRABO
9,DISIMULACIN,DISIMULACIN,DISIMULACIN, SERVICIOS DE UROLOGA, MDICOS
9,EN SU CARGO DE DIRECTOR DE ADMINISTRACION, JUBILATORIA, SE ACTUALZARA SU JUBILACION., PENSION JUBILATORIA, CONTRAPRESTACIONES COMPROBABLES
17, DESACATO," DESACATO A UNA SENTENCIA DE AMPARO,"," 1501/2013-D,"," PAGO A LOS QUEJOSOS POR $13,425.00,", NO REALIZO EL PAGO A LOS QUEJOSOS
9,"AUTORIZO LA RECEPCION DE MATERIAL DENOMINADO BARITA,"," 3,030 TONELADAS,", DESTINO., MATERIAL, DESTINO.
9,OMITIO, DAO PATRIMONIAL, (INCUMPLIMIENTO DEL PROVEEDOR), COMISION, (INCUMPLIMIENTO DEL PROVEEDOR)
9,OBTUVO BENEFICIOS ADICIONALES, VIATICOS,OBTUVO, VIATICOS, FACTURAS CARENTES DE VALIDEZ
9,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
13,"DERIVADO DEL PROCESO DE ENTREGA-RECEPCIN,", INHABILITACIN POR SIETE MESES," HIDALGO,", INGRESOS Y EGRESOS," NO ENTREGO LA CONTABILIDAD,"
1,OMITI DEVOLVER AL INEGI, UN DAO PATRIMONIAL," $17,464.52"," CMARAS FOTOGRFICAS,","OMITI DEVOLVER AL INEGI 3 CMARAS FOTOGRFICAS,"
9," SE AUSENTO DE SUS LABORES SIN CAUSA JUSTIFICADA,"," $1,681.81"," NEZAHUALCOYOTL, ESTADO DE MEXICO,"," SE AUSENTO DE SUS LABORES SIN CAUSA JUSTIFICADA,"," SE AUSENTO DE SUS LABORES SIN CAUSA JUSTIFICADA,"
9,INTERVENCIN,INTERVENCIN EN ASUNTOS, 2012," INTERS PERSONAL Y FAMILIAR,"," INTERS PERSONAL Y FAMILIAR,"
9,"OBTUVO BENEFICIOS ADICIONALES,", 4 CHEQUES, SIN HABER REALIZADO LA COMPROBACION," COMISIONES,", NO EXISTE SOPORTE DOCUMENTAL O EVIDENCIA
